data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,937,279,2964526,2310131,0.78,52305,499754,10003,13844,198,0.0,0.0,0.0
Array,2415,289,5829647,6080483,1.04,37430,1020683,14537,19197,332,0.0,0.0,0.0
Array,4644,297,10322183,11915694,1.15,61223,1940176,23572,52609,359,0.0,0.0,0.0
Array,8154,324,17792922,21759860,1.22,72711,3565773,31156,113629,513,0.0,0.0,0.0
Array,10712,306,21367650,26192633,1.23,66967,4531707,29254,233020,464,0.0,0.0,0.0
Array,23295,303,47486539,57601658,1.21,94082,9159747,60407,527248,1315,0.0,0.0,0.0
Array,47692,274,88297236,109999376,1.25,237287,17590405,158104,941619,1761,0.0,0.0,0.0
Array,69708,297,137066325,171282256,1.25,262474,27078684,170644,1456309,2154,0.0,0.0,0.0
Array,90208,306,175559804,225260125,1.28,170243,37085749,321610,1897382,2319,0.0,0.0,0.0
Array,256547,281,477452715,607690222,1.27,1393853,98863619,919943,5138527,6735,0.0,0.0,0.0
Array,459618,273,834843320,1073206799,1.29,6367438,173960635,2051932,9039832,22160,0.0,0.0,0.0
Array,684579,327,1437674193,1869185513,1.3,16038912,299437221,2351536,15762187,78045,0.0,0.0,0.0
Array,913723,296,1777011868,2286745245,1.29,15182561,369583961,4229672,19064143,64725,0.0,0.0,0.0
Array,2263049,26,1092961998,1446348870,1.32,8939428,321502919,12554408,9395148,81434,0.0,0.0,0.0
Array,4500140,30,2352183659,3079518630,1.31,20583563,680235686,26318794,20537058,189046,0.0,0.0,0.0
Array,6773526,29,3516563745,4683016455,1.33,33520739,1041311295,33331937,31908112,288393,0.0,0.0,0.0
Array,10000000,4,4915181820,5150531669,1.05,30006157,1295562258,60133733,36514998,246824,0.0,0.0,0.0
LinkedList,937,321,2894605,3268280,1.13,27812,531584,7230,10414,<notcounted>,0.0,0.0,0.0
LinkedList,2415,295,8085842,7452884,0.92,68880,1015211,8176,431820,216,0.0,0.0,0.0
LinkedList,4644,327,12184383,13874868,1.14,55865,2046799,10853,879428,200,0.0,0.0,0.0
LinkedList,8154,325,21619926,24509850,1.13,54338,3483605,11282,1381537,702,0.0,0.0,0.0
LinkedList,10712,276,24437157,27422093,1.12,70814,4175432,11603,1541000,514,0.0,0.0,0.0
LinkedList,23295,296,61670343,54134204,0.88,244979,9225894,15829,3474653,4055,0.0,0.0,0.0
LinkedList,47692,292,126301587,119973144,0.95,1724061,18366946,24831,6609506,16272,0.0,0.0,0.0
LinkedList,69708,286,213409518,160356320,0.75,7783417,26681035,31222,9838730,32580,0.0,0.0,0.0
LinkedList,90208,320,337497367,233214987,0.69,10317141,35210518,44481,15555136,34976,0.0,0.0,0.0
LinkedList,256547,304,1016475357,659758584,0.65,55792726,101164580,104892,38651043,581593,0.0,0.0,0.0
LinkedList,459618,288,1491941839,1124870796,0.75,91145609,173112215,155826,65428283,1005055,0.0,0.0,0.0
LinkedList,684579,295,2246139837,1657869290,0.74,133646992,260085472,197063,104222688,1563713,0.0,0.0,0.0
LinkedList,913723,290,2939806206,2189219245,0.74,172077464,338638227,259030,136368199,2111540,0.0,0.0,0.0
LinkedList,2263049,34,1141811796,1253274334,1.1,52977077,248019963,165102,42946562,634575,0.0,0.0,0.0
LinkedList,4500140,25,1705579009,2239637090,1.31,82988289,438346332,254353,60952643,929550,0.0,0.0,0.0
LinkedList,6773526,30,2924664860,3615951368,1.24,143478209,685636817,391335,111019394,1685965,0.0,0.0,0.0
LinkedList,10000000,3,1747220519,3347612219,1.92,34747808,732721694,483194,27368978,416797,0.0,0.0,0.0
